名称,代码,口径,日期,开盘,最高,最低,收盘,供应商涨跌额,供应商涨跌幅_pct,复算涨跌额,复算涨跌幅_pct,涨跌幅复算差异_bp,年初至今涨跌幅_pct,成交量,成交额,振幅_pct,换手率_pct,数据源
CPO概念,BK1128,东方财富概念板块,2026-02-05,5649.07,5708.62,5505.16,5557.2,-214.23,-3.71,-214.23000000000047,-3.711905021805695,-0.1905021805694851,11.004799980824043,19551905.0,121621105931.0,3.53,2.45,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-05,3277.72,3288.38,3238.78,3260.28,-51.23,-1.55,-51.23000000000002,-1.5470283949014174,0.29716050985826303,1.7829212935935423,215234082.0,558915728580.92,1.5,3.85,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-05,1423.66,1441.16,1416.26,1432.52,-20.96,-1.44,-20.960000000000036,-1.4420563062443215,-0.20563062443215152,6.570450825769969,15199278.0,67731466062.0,1.71,2.17,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-06,5484.75,5690.28,5484.75,5578.23,21.03,0.38,21.029999999999745,0.3784279853163319,-0.1572014683668077,11.424873208995901,19697500.0,126885764501.0,3.7,2.47,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-06,3222.88,3288.03,3199.14,3236.46,-23.82,-0.73,-23.820000000000164,-0.7306120946667161,-0.06120946667160787,1.0392829603174336,218119516.0,566546632643.1,2.73,3.9,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-06,1415.05,1440.81,1405.87,1422.41,-10.11,-0.71,-10.1099999999999,-0.7057493089101641,0.42506910898358896,5.818330605564648,13035099.0,62257704857.0,2.44,1.86,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-09,5750.74,5979.0,5661.34,5923.63,345.4,6.19,345.40000000000055,6.191928263983382,0.19282639833813064,18.324221426331366,23212670.0,161296075738.0,5.69,2.91,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-09,3299.6,3340.33,3276.57,3332.77,96.31,2.98,96.30999999999995,2.9757821817665064,-0.4217818233493542,4.045991939235183,242919658.0,644485727297.12,1.97,4.34,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-09,1453.54,1458.93,1441.9,1458.16,35.75,2.51,35.75,2.5133400355734192,0.3340035573419442,8.477905073649762,15747839.0,72909863132.0,1.2,2.25,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-10,5922.89,6020.71,5880.2,5916.07,-7.56,-0.13,-7.5600000000004,-0.1276244464964993,0.23755535035007158,18.17321079366472,18891615.0,119257065307.0,2.37,2.37,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-10,3321.88,3348.48,3320.54,3320.54,-12.23,-0.37,-12.230000000000018,-0.3669620165808074,0.30379834191925914,3.66418266904347,247658452.0,597128992818.68,0.84,4.43,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-10,1463.35,1485.97,1463.35,1471.5,13.34,0.91,13.339999999999918,0.9148515937894341,0.48515937894341166,9.470316917125432,11770391.0,68410380072.0,1.55,1.68,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-11,5870.96,5997.91,5820.75,5828.04,-88.03,-1.49,-88.02999999999975,-1.4879810414684003,0.20189585315997238,16.414815820960516,17216505.0,120245921012.0,2.99,2.16,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-11,3312.64,3324.18,3284.24,3284.74,-35.8,-1.08,-35.80000000000018,-1.0781378932342434,0.18621067657567103,2.5465398339769685,228686816.0,565228313902.61,1.2,4.09,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-11,1462.0,1467.28,1453.01,1455.11,-16.39,-1.11,-16.3900000000001,-1.113829425756041,-0.38294257560409495,8.251004314834098,8978509.0,48644897749.0,0.97,1.28,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-12,5864.75,6047.1,5862.51,6021.82,193.78,3.32,193.77999999999975,3.3249600208646424,0.49600208646425337,20.285561905370653,19360175.0,140407284652.0,3.17,2.43,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-12,3294.57,3334.35,3292.68,3328.06,43.32,1.32,43.320000000000164,1.3188258431413136,-0.11741568586864926,3.8989501025546547,233849768.0,618126291227.27,1.27,4.18,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-12,1463.61,1481.98,1454.63,1480.99,25.88,1.78,25.88000000000011,1.7785596965177897,-0.1440303482210359,10.176313048653473,10015209.0,69329188019.0,1.88,1.43,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-13,5936.31,5962.75,5837.21,5842.39,-179.43,-2.98,-179.42999999999938,-2.979663955415457,0.03360445845430604,16.70145637370737,16926868.0,109697899311.0,2.08,2.12,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-13,3309.43,3323.37,3275.29,3275.96,-52.1,-1.57,-52.09999999999991,-1.565476583955816,0.45234160441840476,2.2724363677232295,213034284.0,546081609337.22,1.44,3.81,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-13,1470.26,1492.09,1466.71,1470.33,-10.66,-0.72,-10.660000000000082,-0.719788789931064,0.021121006893598526,9.383276298169907,9896616.0,61592827654.0,1.71,1.41,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-24,5973.29,6156.14,5966.88,6057.18,214.79,3.68,214.78999999999996,3.676406402174459,-0.35935978255410284,20.99187618726117,18617786.0,133506419625.0,3.24,2.34,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-24,3331.79,3343.24,3292.5,3308.26,32.3,0.99,32.30000000000018,0.985970524670643,-0.4029475329357046,3.2808124451715104,228065490.0,597003922814.53,1.55,4.08,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-24,1493.45,1493.77,1453.55,1465.37,-4.96,-0.34,-4.960000000000036,-0.33733923676998456,0.26607632300154616,9.01428358875167,10295969.0,68936003468.0,2.74,1.47,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-25,6082.65,6086.16,5931.82,6019.57,-37.61,-0.62,-37.61000000000058,-0.6209160038169625,-0.09160038169625517,20.240618264696053,20521193.0,131091447661.0,2.55,2.57,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-25,3313.09,3363.18,3302.76,3354.82,46.56,1.41,46.559999999999945,1.4073863602014347,-0.2613639798565215,4.734372512230078,239093899.0,626851423640.47,1.83,4.27,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-25,1468.51,1481.29,1454.41,1473.28,7.91,0.54,7.910000000000082,0.5397954100329727,-0.020458996702732435,9.602737687844055,11075883.0,70042250876.0,1.83,1.58,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-26,6074.75,6304.53,6053.45,6275.84,256.27,4.26,256.27000000000044,4.257280835674315,-0.2719164325684531,25.359599062775274,26127974.0,151541239183.0,4.17,3.28,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-26,3346.74,3351.57,3310.55,3344.98,-9.84,-0.29,-9.840000000000146,-0.2933093280712562,-0.33093280712562234,4.427176827954815,258474728.0,697126472186.56,1.22,4.62,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-26,1478.73,1494.75,1456.03,1485.86,12.58,0.85,12.579999999999927,0.853877063423103,0.3877063423103011,10.538610325844356,11154134.0,83624470114.0,2.63,1.59,https://push2his.eastmoney.com/api/qt/stock/kline/get
